,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
718,G05_246T04_9000000882, 12:03:09, 44:31:52,,No identification within 1 arcsec,
719,G05_248T01_9000000486, 12:03:09.60, 44:31:53.0,NGC  4051,Seyfert_1,Seyfert 1 Galaxy
720,G05_250T01_9000000568, 18:16:16.776, 54:10:21.620,V* EY Dra,BYDra,Variable of BY Dra type
721,G05_251T02_9000000588, 1:09:52.044, -71:18:20.22,,No identification within 1 arcsec,
722,G05_253T03_9000000562, 17:46:15.608, -32:14:0.600,NAME XTE J17464-3213,LMXB,Low Mass X-ray Binary
723,G05_256T01_9000000538, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
724,G05_258T01_9000000666, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
725,G06_002T01_9000000742, 23:18:23.5, -42:22:14,,No identification within 1 arcsec,
726,G06_016T01_9000001052, 12:36:59.350, 14:19:49.332,2MASX J12365934+1419494,LSB_G,Low Surface Brightness Galaxy
727,G06_019T01_9000000796, 0:41:50.38, -9:19:37.20,[SDG98] 2-464,GinCl,Galaxy in Cluster of Galaxies
728,G06_024T01_9000000780, 23:57:49.827, -32:35:27.710,NGC  7793,GinGroup,Galaxy in Group of Galaxies
729,G06_027T01_9000000770, 19:15:11.550, 10:56:44.801,Granat 1915+105,HMXB,High Mass X-ray Binary
730,G06_028T01_9000000768, 19:58:21.676, 35:12:5.778,HD 226868,HMXB,High Mass X-ray Binary
731,G06_028T01_9000000834, 19:58:21.676, 35:12:5.778,HD 226868,HMXB,High Mass X-ray Binary
732,G06_028T01_9000001094, 19:58:21.676, 35:12:5.778,HD 226868,HMXB,High Mass X-ray Binary
733,G06_028T01_9000001122, 19:58:21.676, 35:12:5.778,HD 226868,HMXB,High Mass X-ray Binary
734,G06_029T01_9000000964, 5:34:31.940, 22:0:52.200,V* CM Tau,Pulsar,Pulsar
735,G06_029T02_9000000974, 12:13:55.2, 22:48:0.00,,No identification within 1 arcsec,
736,G06_051T01_9000000972, 12:29:25.70, +12:19:13.1,,No identification within 1 arcsec,
737,G06_060T01_9000000726, 20:56:52.41, 31:12:44.48,,No identification within 1 arcsec,
738,G06_065T01_9000000868, 00:13:01.0, +72:31:19.1,NGC    40,PN,Planetary Nebula
739,G06_066T01_9000000928, 04:09:16.98, +30:46:33.5,NGC  1514,PN,Planetary Nebula
740,G06_067T01_9000000872, 07:57:51.6, 53:25:16.9,PN ARO  121,PN,Planetary Nebula
741,G06_068T01_9000000930, 08:46:53.492, +17:52:46.83,PN A66   30,PN,Planetary Nebula
742,G06_071T01_9000001088, 17:13:33.37, -36:58:21.5,,No identification within 1 arcsec,
743,G06_077T01_9000001090, 12:59:48.701, 27:58:50.016,ACO  1656,ClG,Cluster of Galaxies
744,G06_077T02_9000001076, 17:12:24.7, -23:21:01,NAME Oph Cluster,ClG,Cluster of Galaxies
745,G06_084T01_9000000710, 22:17:55.380, -8:21:3.899,V* FO Aqr,CataclyV*,Cataclysmic Variable Star
746,G06_086T01_9000000774, 19:59:59.85, +65:08:54.65,QSO B1959+650,BLLac,BL Lac - type object
747,G06_086T02_9000000936, 11:03:37.61, -23:29:31.11,2A 1058-226,BLLac,BL Lac - type object
748,G06_087T01_9000000926, 04:20:00.4, -54:56:16,NGC  1566,Seyfert_1,Seyfert 1 Galaxy
749,G06_087T02_9000001016, 13:55:39.9, +40:27:42,NGC  5390,LINER,LINER-type Active Galaxy Nucleus
750,G06_087T03_9000000696, 22:35:46.2, -26:03:02,NGC  7314,Seyfert_1,Seyfert 1 Galaxy
751,G06_087T04_9000001028, 13:13:27.4, +36:35:38,,No identification within 1 arcsec,
752,G06_117T01_9000001012, 12:10:32.574, 39:24:20.880,[CTH90] NGC 4151 C04,Radio,Radio-source
753,G06_117T01_9000001046, 12:10:32.574, 39:24:20.880,[CTH90] NGC 4151 C04,Radio,Radio-source
754,G06_117T01_9000001086, 12:10:32.574, 39:24:20.880,[CTH90] NGC 4151 C04,Radio,Radio-source
755,G06_124T01_9000001054, 13:13:30.790, -19:32:47.904,NGC  5022,GinPair,Galaxy in Pair of Galaxies
756,G06_126T01_9000000716, 20:56:35.06, 30:58:30.17,,No identification within 1 arcsec,
757,G06_129T01_9000000718, 20:46:22.60, 30:21:6.40,,No identification within 1 arcsec,
758,G06_130T01_9000000782, 1:3:14.260, -70:50:55.601,NGC   362,GlCl,Globular Cluster
759,G06_132T01_9000000728, 22:29:49.730, -48:0:11.002,CD-48 14223,PM*,High proper-motion Star
760,G06_132T01_9000000784, 22:29:49.730, -48:0:11.002,CD-48 14223,PM*,High proper-motion Star
761,G06_132T01_9000000838, 22:29:49.730, -48:0:11.002,CD-48 14223,PM*,High proper-motion Star
762,G06_134T03_9000000894, 00:59:54.1, -59:43:30,HE 0057-5959,Pec*,Peculiar Star
763,G06_134T06_9000000878, 01:40:36.2, +23:44:58,SDSS J014036.21+234458.1,Pec*,Peculiar Star
764,G06_134T11_9000000870, 11:55:20.9, +65:43:11,SDSS J115520.95+654310.8,Star,Star
765,G06_135T01_9000000908, 04:03:54.3, -43:20:55.9,NGC  1512,GinPair,Galaxy in Pair of Galaxies
766,G06_135T02_9000000918, 08:14:40.0, +49:03:41.2,,No identification within 1 arcsec,
767,G06_135T03_9000000944, 14:05:01.6, +53:39:43.9,NGC  5474,GinPair,Galaxy in Pair of Galaxies
768,G06_136T01_9000001148, 14:49:25.4, +14:56:41.0,,No identification within 1 arcsec,
769,G06_136T02_9000000876, 10:43:21.1, +41:56:49.5,,No identification within 1 arcsec,
770,G06_137T01_9000001000, 12:57:08.62, 27:21:44.7,,No identification within 1 arcsec,
771,G06_137T02_9000001002, 13:00:33.49, 27:47:22.7,,No identification within 1 arcsec,
772,G06_138T01_9000001020, 12:57:08.62, 27:21:44.7,,No identification within 1 arcsec,
773,G06_138T03_9000001096, 13:02:05.70, 28:17:16.4,,No identification within 1 arcsec,
774,G06_139T01_9000000700, 21:51:2.8, -8:33:36.6,,No identification within 1 arcsec,
775,G06_139T02_9000000862, 1:57:50.0, 13:00:00.0,,No identification within 1 arcsec,
776,G06_139T05_9000000804, 00:51:26.0, -27:07:42.0,,No identification within 1 arcsec,
777,G06_145T01_9000000816, 23:13:16.976, 57:10:6.082,HD 219134c,Planet,Extra-solar Confirmed Planet
778,G06_145T01_9000000914, 23:13:16.976, 57:10:6.082,HD 219134c,Planet,Extra-solar Confirmed Planet
779,G06_151T01_9000000836, 01:36:41.78, 15:47:0.60,M  74,Galaxy,Galaxy
780,G06_151T02_9000001010, 12:15:32.93, 36:17:01,SDSS J121532.93+361700.9,low-mass*,Low-mass star (M<1solMass)
781,G06_154T01_9000001100, 12:58:51.0, +27:43:0.0,,No identification within 1 arcsec,
782,G06_154T02_9000001102, 12:58:0.0, +28:00:0.0,,No identification within 1 arcsec,
783,G06_154T03_9000000996, 11:44:36.5, +19:50:0.0,,No identification within 1 arcsec,
784,G06_154T04_9000000998, 11:44:50.0, +20:15:21.0,,No identification within 1 arcsec,
785,G06_157T01_9000000772, 1:23:45.748, -58:48:20.648,ESO 113-45,Seyfert_1,Seyfert 1 Galaxy
786,G06_157T02_9000001008, 12:18:26.484, 29:48:46.150,NGC  4253,Seyfert_1,Seyfert 1 Galaxy
787,G06_164T01_9000000844, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
788,G06_164T01_9000000866, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
789,G06_164T01_9000000896, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
790,G06_164T01_9000000922, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
791,G06_164T01_9000000946, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
792,G06_164T01_9000000968, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
793,G06_164T01_9000001004, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
794,G06_164T01_9000001040, 8:18:22.18, 61:27:38.52,HD  68988,PM*,High proper-motion Star
795,G06_168T01_9000000786, 00:04:55.4, -24:24:19,2MASS J00045537-2424193,Star,Star
796,G06_168T02_9000000790, 00:33:14.3, -10:43:43,V* CM Cet,Candidate_LP*,Long Period Variable candidate
797,G06_168T04_9000000820, 01:09:29.1, -52:24:34,HE 0107-5240,Pec*,Peculiar Star
798,G06_168T05_9000000810, 01:37:05.4, -15:04:24,,No identification within 1 arcsec,
799,G06_168T07_9000000750, 03:13:00.4, -67:08:39,SMSS J031300.36-670839.3,Pec*,Peculiar Star
800,G06_168T10_9000000932, 10:29:15.2, +17:29:28,UCAC3 215-112497,Pec*,Peculiar Star
801,G06_168T13_9000000942, 12:04:41.4, +12:01:11.5,SDSS J120441.38+120111.5,Pec*,Peculiar Star
802,G06_168T15_9000001110, 12:39:05.1, +47:37:51,Ton  96,HotSubdwarf,Hot subdwarf
803,G06_168T16_9000001112, 12:48:27.1, +61:43:59,SDSS J124827.13+614359.4,Star,Star
804,G06_168T20_9000001092, 13:53:49.7, 17:36:38,,No identification within 1 arcsec,
805,G06_168T22_9000001108, 16:28:50.7, +54:37:03,,No identification within 1 arcsec,
806,G06_168T23_9000000706, 17:01:43.9, +16:09:03,,No identification within 1 arcsec,
807,G06_168T25_9000000830, 23:10:25.4, -13:18:35,V* LS Aqr,LPV*,Long-period variable star
808,G06_169T01_9000000846, 8:52:35.811, 28:19:50.947,* rho01 Cnc,PM*,High proper-motion Star
809,G06_169T01_9000000886, 8:52:35.811, 28:19:50.947,* rho01 Cnc,PM*,High proper-motion Star
810,G06_169T01_9000001070, 8:52:35.811, 28:19:50.947,* rho01 Cnc,PM*,High proper-motion Star
811,G07_002T01_9000001316, 14:53:51.567, +18:39:04.79,,No identification within 1 arcsec,
812,G07_002T02_9000001432, 23:36:25.054, +21:09:02.64,IC 5337,EmG,Emission-line galaxy
813,G07_003T01_9000001290, 13:47:24.5, -30:24:25,NGC  5291,AGN,Active Galaxy Nucleus
814,G07_003T02_9000001564, 22:20:44.7, -24:40:42,[MWS97] 56,Cl*,Cluster of Stars
815,G07_004T01_9000001532, 2:22:33.413, 42:20:56.940,,No identification within 1 arcsec,
816,G07_005T01_9000001430, 0:1:58.162, -15:27:39.348,,No identification within 1 arcsec,
817,G07_005T02_9000001214, 10:28:23.479, 68:24:43.704,IC 2574,Galaxy,Galaxy
818,G07_007T01_9000001196, 8:51:18.000, 11:48:0.000,,No identification within 1 arcsec,
819,G07_009T01_9000001318, 20:45:55, 31:03:30.0,,No identification within 1 arcsec,
820,G07_010T01_9000001220, 12:57:59.71, 27:59:45.5,,No identification within 1 arcsec,
821,G07_010T02_9000001222, 12:57:11.21, 28:31:12.1,,No identification within 1 arcsec,
822,G07_010T03_9000001224, 13:00:09.64, 27:12:49.5,,No identification within 1 arcsec,
823,G07_011T01_9000001518, 00:15:13.19, -39:13:0.8,[CHG2008] C1-49,Star,Star
824,G07_011T03_9000001476, 19:44:56.2, -14:47:51.3,NGC  6822,Galaxy,Galaxy
825,G07_011T04_9000001466, 23:04:56.67, 12:19:22.4,NGC  7479,Seyfert_2,Seyfert 2 Galaxy
826,G07_013T01_9000001456, 20:18:18.7, -70:48:45,,No identification within 1 arcsec,
827,G07_013T02_9000001216, 09:21:11.9, 64:12:47,,No identification within 1 arcsec,
828,G07_022T01_9000001322, 14:53:41.060, -55:21:38.700,2MASS J14534105-5521387,CataclyV*,Cataclysmic Variable Star
829,G07_022T02_9000001434, 19:38:35.810, -46:12:56.999,V* QS Tel,CataclyV*,Cataclysmic Variable Star
830,G07_024T01_9000001206, 8:41:24.360, 70:53:42.360,4C 71.07,QSO,Quasar
831,G07_030T01_9000001338, 20:56:35.06, 30:58:30.17,,No identification within 1 arcsec,
832,G07_031T01_9000001402, 22:29:38.5, -20:50:13.6,NGC  7293,PN,Planetary Nebula
833,G07_032T01_9000001554, 22:30:27.60, -20:49:47.5,,No identification within 1 arcsec,
834,G07_033T01_9000001254, 11:15:46.71, +55:02:32.61,,No identification within 1 arcsec,
835,G07_034T01_9000001134, 07:41:54.91, -18:12:29.7,NGC  2440,PN,Planetary Nebula
836,G07_035T01_9000001396, 21:36:42.96, +12:46:34.30,,No identification within 1 arcsec,
837,G07_051T01_9000001550, 21:46:42.4, -8:36:39.5,,No identification within 1 arcsec,
838,G07_051T02_9000001526, 1:11:13.4, +19:28:32.8,,No identification within 1 arcsec,
839,G07_057T01_9000001520, 02:17:59.64, +14:32:38.6,NGC   877,LSB_G,Low Surface Brightness Galaxy
840,G07_057T02_9000001504, 03:33:36.37, -36:08:25.4,[GAP2005] NGC 1365 M1,IR,Infra-Red source
841,G07_057T03_9000001552, 05:42:4.65, +69:22:42.4,NGC  1961,LINER,LINER-type Active Galaxy Nucleus
842,G07_057T04_9000001264, 13:25:44.06, -29:50:01.2,NGC  5135,Seyfert_2,Seyfert 2 Galaxy
843,G07_060T01_9000001200, 12:18:26.48, 29:48:46.1,NGC  4253,Seyfert_1,Seyfert 1 Galaxy
844,G07_062T01_9000001560, 8:10:58.669, 76:2:42.486,2MASS J08105865+7602424,Seyfert_1,Seyfert 1 Galaxy
845,G07_063T01_9000001336, 20:47:38.97, +30:03:02.84,,No identification within 1 arcsec,
846,G07_066T01_9000001510, 03:42:01.55, -47:13:19.49,[LB2005] NGC  1433 X1,X,X-ray source
847,G07_068T01_9000001502, 04:03:54.3, -43:20:56.0,NGC  1512,GinPair,Galaxy in Pair of Galaxies
848,G07_068T02_9000001508, 04:03:32.6, -43:24:00.0,NGC  1510,GinPair,Galaxy in Pair of Galaxies
849,G07_069T01_9000001332, 16:19:35.700, 52:46:30.000,RX J1619.5+5246,X,X-ray source
850,G07_069T01_9000001356, 16:19:35.700, 52:46:30.000,RX J1619.5+5246,X,X-ray source
851,G07_070T01_9000001138, 09:53:33.4, -19:34:59,ESO 566-24,EmG,Emission-line galaxy
852,G07_070T02_9000001262, 14:51:14.4, +35:32:32,UGC  9562,GinPair,Galaxy in Pair of Galaxies
853,G07_076T01_9000001538, 02:43:3.68, +32:26:44.3,,No identification within 1 arcsec,
854,G07_076T02_9000001320, 15:18:22.67, -24:02:26.98,,No identification within 1 arcsec,
855,G07_076T03_9000001314, 18:33:55, +22:53:18.0,,No identification within 1 arcsec,
856,G07_076T04_9000001172, 12:12:32.48, +29:10:1.6,,No identification within 1 arcsec,
857,G07_077T01_9000001306, 14:08:27.79, +48:55:56.8,,No identification within 1 arcsec,
858,G07_077T02_9000001308, 14:10:44.44, +48:41:37.69,,No identification within 1 arcsec,
859,G07_077T03_9000001310, 14:09:51.01, +48:26:39.25,,No identification within 1 arcsec,
860,G07_077T04_9000001312, 14:45:07.157, +38:45:09.85,,No identification within 1 arcsec,
861,G07_080T03_9000001154, 08:38:28.80, +53:54:36.6,,No identification within 1 arcsec,
862,G07_084T03_9000001174, 13:31:47.761, +66:31:33.88,TYC 4170-564-1,Star,Star
863,G07_086T01_9000001142, 11:01:51.9, -34:42:17.0,V* TW Hya,TTau*,T Tau-type Star
864,G07_086T02_9000001144, 11:32:18.3, -31:19:51.8,,No identification within 1 arcsec,
865,G07_087T01_9000001228, 13:25:27.615, -43:1:8.805,ATPMN J132527.5-430108,Radio(cm),centimetric Radio-source
866,G08_002T01_9000002072, 13:04:06.345, +19:17:12.80,,No identification within 1 arcsec,
867,G08_006T01_9000001728, 00:24:36.8, -74:28:37.3,,No identification within 1 arcsec,
868,G08_006T02_9000001730, 01:45:10.5, -74:40:54.8,,No identification within 1 arcsec,
869,G08_006T03_9000001732, 02:06:56.7, -74:41:44.12,,No identification within 1 arcsec,
870,G08_006T04_9000001812, 00:24:46, -72:47:42.5,,No identification within 1 arcsec,
871,G08_009T01_9000001692, 21:57:20.95, -07:50:46.2,,No identification within 1 arcsec,
872,G08_009T01_9000001696, 21:57:20.95, -07:50:46.2,,No identification within 1 arcsec,
873,G08_010T01_9000001672, 0:47:33.120, -25:17:17.592,[MGA2005] H92alp 2,Radio,Radio-source
874,G08_010T02_9000002188, 12:39:59.431, -11:37:22.980,M 104,LINER,LINER-type Active Galaxy Nucleus
875,G08_010T03_9000001800, 9:22:2.655, 50:58:35.320,NGC  2841,LINER,LINER-type Active Galaxy Nucleus
876,G08_012T01_9000002370, 01:33:50.8, 30:43:36,,No identification within 1 arcsec,
877,G08_014T01_9000002104, 20:47:45.007, -36:35:40.790,V* BO Mic,BYDra,Variable of BY Dra type
878,G08_019T01_9000002166, 20:50:46.31, +31:56:38.2,,No identification within 1 arcsec,
879,G08_020T01_9000002168, 20:48:08.94, +31:51:22.9,,No identification within 1 arcsec,
880,G08_023T01_9000001978, 13:26:24.55, -42:50:40.56,,No identification within 1 arcsec,
881,G08_024T01_9000001776, 09:10:56.46, +58:05:36.69,,No identification within 1 arcsec,
882,G08_024T02_9000002094, 16:23:19.63, +16:22:46.63,,No identification within 1 arcsec,
883,G08_024T03_9000001774, 08:47:34.00, +57:57:17.19,,No identification within 1 arcsec,
884,G08_026T01_9000002154, 20:48:32.5, +31:09:09,,No identification within 1 arcsec,
885,G08_029T01_9000002010, 09:52:58.99, +13:44:34.9,EGB  6,PN,Planetary Nebula
886,G08_031T01_9000001702, 00:47:33, -25:17:18,[AU88] 5.63-40.0,Radio,Radio-source
887,G08_031T01_9000002314, 00:47:33, -25:17:18,[AU88] 5.63-40.0,Radio,Radio-source
888,G08_031T02_9000001934, 12:16:42.1, 69:27:45,NGC  4236,GinGroup,Galaxy in Group of Galaxies
889,G08_031T03_9000001972, 09:32:10.1, 21:30:03,NGC  2905,HII_G,HII Galaxy
890,G08_034T01_9000001944, 13:53:40.9, 40:19:07,HCG  68,Compact_Gr_G,Compact Group of Galaxies
891,G08_034T02_9000002136, 22:35:57.5, 33:57:36,NAME Stephan's Quintet,No identification within 1 arcsec,
892,G08_046T09_9000001600, 15:49:28.92937, +47:06:17.6520,,No identification within 1 arcsec,
893,G08_046T09_9000002358, 15:49:28.92937, +47:06:17.6520,,No identification within 1 arcsec,
894,G08_048T01_9000001752, 03:17:18.60, -41:06:29.05,[CHP2004] J031718.6-410629,X,X-ray source
895,G08_057T09_9000002174, 15:49:28.92937, +47:06:17.6520,,No identification within 1 arcsec,
896,G08_059T01_9000002150, 20:50:46.31, +31:56:38.2,,No identification within 1 arcsec,
897,G08_060T01_9000001736, 7:36:51.396, 65:36:9.170,NGC  2403,AGN,Active Galaxy Nucleus
898,G08_061T01_9000001938, 15:48:34.42, +28:09:24.3,V* R CrB,Erupt*RCrB,Variable Star of R CrB type
899,G08_064T01_9000001814, 12:10:32.574, 39:24:20.880,[CTH90] NGC 4151 C04,Radio,Radio-source
900,G08_064T01_9000002070, 12:10:32.574, 39:24:20.880,[CTH90] NGC 4151 C04,Radio,Radio-source
901,G08_065T01_9000001796, 9:25:12.871, 52:17:10.495,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
902,G08_066T01_9000002138, 00:53:59.30, -27:08:35.88,ESO 474-40,Galaxy,Galaxy
903,G08_066T02_9000002346, 02:34:37.87, -08:47:17.16,NGC   985,Seyfert_1,Seyfert 1 Galaxy
904,G08_066T04_9000002122, 20:23:54.96, -50:39:06.48,2MASX J20235495-5039063,GinGroup,Galaxy in Group of Galaxies
905,G08_071T01_9000001888, 12:3:9.686, 44:31:52.540,NGC  4051,Seyfert_1,Seyfert 1 Galaxy
906,G08_071T02_9000001620, 23:3:15.674, 8:52:25.280,[RLA2011] A,IR,Infra-Red source
907,G08_072T01_9000002272, 18:55:2.350, -31:9:48.960,V* V1223 Sgr,CataclyV*,Cataclysmic Variable Star
908,G08_072T03_9000001836, 5:29:25.500, -32:49:5.016,,No identification within 1 arcsec,
909,G08_076T01_9000002056, 15:38:39.7, +59:21:21.9,NGC  5982,LINER,LINER-type Active Galaxy Nucleus
910,G08_076T02_9000002164, 13:27:54.3, -29:37:5.0,NGC  5153,GinGroup,Galaxy in Group of Galaxies
911,G08_076T03_9000001768, 02:34:47.6, +32:50:37.0,,No identification within 1 arcsec,
912,G08_077T01_9000001970, 12:36:51.0, +62:17:38.67,,No identification within 1 arcsec,
913,G08_081T01_9000002144, 20:32:15.28, +37:38:14.9,V* V2246 Cyg,HMXB,High Mass X-ray Binary
914,G08_081T01_9000002178, 20:32:15.28, +37:38:14.9,V* V2246 Cyg,HMXB,High Mass X-ray Binary
915,G08_081T01_9000002350, 20:32:15.28, +37:38:14.9,V* V2246 Cyg,HMXB,High Mass X-ray Binary
916,G08_082T01_9000001986, 13:35:53.800, -34:17:43.780,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
917,G08_083T01_9000002134, 14:03:12.5, 54:20:56.0,GSC 03852-01012,HMXB,High Mass X-ray Binary
918,G08_083T02_9000001840, 11:00:23.9, 28:58:30,NGC  3486,Seyfert_2,Seyfert 2 Galaxy
919,G08_083T03_9000002022, 11:18:16.5, -32:48:51,[GSE2009] A,X,X-ray source
920,G08_083T04_9000001760, 02:43:29.9, +37:20:27,,No identification within 1 arcsec,
921,G08_084T01_9000002100, 16:32:16.79, -67:27:39.3,V* KZ TrA,LMXB,Low Mass X-ray Binary
922,T01_034T01_9000000392, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
923,T01_051T01_9000000390, 1:41:28.740, 83:34:58.901,GD 419,WD*,White Dwarf
924,T01_055T01_9000000394, 3:55:21.990, 9:47:17.999,HZ  4,WD*,White Dwarf
925,T01_055T01_9000000408, 3:55:21.990, 9:47:17.999,HZ  4,WD*,White Dwarf
926,T01_057T01_9000000380, 04:09:45.0, +17:00:00,,No identification within 1 arcsec,
927,T01_071T01_9000000382, 05:14:06.76, -40:02:47.6,NGC  1851,GlCl,Globular Cluster
928,T01_105T01_9000000402, 15:32:23.21, -08:32:00.91,V* UZ Lib,SB*,Spectroscopic binary
929,T01_106T01_9000000404, 15:12:50.533, -9:5:59.830,QSO J1512-0906,Blazar,Blazar
930,T01_112T01_9000000406, 5:34:31.940, 22:0:52.06,V* CM Tau,Pulsar,Pulsar
931,T01_135T01_9000000632, 22:07:52.36, +31:21:33.32,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
932,T01_136T01_9000000662, 03:17:18.6, -41:06:29.05,[CHP2004] J031718.6-410629,X,X-ray source
933,T01_137T01_9000000694, 22:19:49.418, -40:40:04.65,SN 2016cvk,SN,SuperNova
934,T01_145T01_9000000916, 01:57:43.79, -73:37:32.3,ASASSN -16oh,**,Double or multiple star
935,T01_151T01_9000000960, 3:19:48.160, 41:30:42.103,3C  84,Seyfert_2,Seyfert 2 Galaxy
936,T01_155T01_9000001042, 5:34:31.940, 22:0:52.200,V* CM Tau,Pulsar,Pulsar
937,T01_163T01_9000001152, 8:54:48.87, 20:6:30.64,QSO J0854+2006,BLLac,BL Lac - type object
938,T01_172T01_9000001250, 20:34:44.238, +60:11:36,SN 2017eaw,SN,SuperNova
939,T01_200T01_9000001638, 19:59:59.852, 65:8:54.650,QSO B1959+650,BLLac,BL Lac - type object
940,T01_207T01_9000001720, 05:00:47.13, -57:09:25.50,,No identification within 1 arcsec,
941,T01_218T01_9000001852, 11:4:27.314, 38:12:31.788,Mrk  421,BLLac,BL Lac - type object
942,T02_002T01_9000001914, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
943,T02_012T01_9000001946, 03:24:41.16, +34:10:45.90,QSO J0324+3410,BLLac,BL Lac - type object
944,T02_012T02_9000001948, 03:24:09.29, +34:04:09.64,,No identification within 1 arcsec,
945,T02_012T03_9000001950, 03:25:13.07, +34:10:45.64,,No identification within 1 arcsec,
946,T02_012T04_9000001952, 03:24:09.25, +34:10:45.64,,No identification within 1 arcsec,
947,T02_012T05_9000001954, 03:25:13.11, +34:17:21.64,,No identification within 1 arcsec,
948,T02_012T06_9000001956, 03:24:09.21, +34:17:21.64,,No identification within 1 arcsec,
949,T02_012T07_9000001958, 03:24:41.16, +34:04:09.90,,No identification within 1 arcsec,
950,T02_012T08_9000001960, 03:24:41.16, +34:17:21.90,,No identification within 1 arcsec,
951,T02_014T01_9000001980, 5:34:31.940, 22:0:52.18,V* CM Tau,Pulsar,Pulsar
952,T02_038T01_9000001994, 18:20:31.0, +07:11:05.0,,No identification within 1 arcsec,
953,T02_046T01_9000002116, 22:43:42.91, -16:59:08.0,AT 2018bcb,Transient,transient event
954,T02_052T01_9000002208, 16:16:00.22, +22:16:04.83,SN 2018cow,SN,SuperNova
955,T02_056T01_9000002210, 13:34:37.00, +37:54:44.00,,No identification within 1 arcsec,
956,T02_058T01_9000002338, 05:34:31.94, +22:00:52.2,V* CM Tau,Pulsar,Pulsar
957,T02_065T01_9000002218, 16:16:00.22, +22:16:04.83,SN 2018cow,SN,SuperNova
958,T02_066T01_9000002324, 18:20:31, +07:11:5,,No identification within 1 arcsec,
959,T02_068T01_9000002238, 16:16:00.22, +22:16:04.83,SN 2018cow,SN,SuperNova
960,T02_069T01_9000002242, 16:16:00.22, +22:16:04.83,SN 2018cow,SN,SuperNova
961,T02_070T01_9000002244, 01:09:46, -71:20:30,,No identification within 1 arcsec,
962,T02_071T01_9000002246, 01:08:54, -71:24:42,,No identification within 1 arcsec,
963,T02_072T01_9000002250, 01:08:54, -71:16:18,,No identification within 1 arcsec,
964,T02_085T01_9000002296, 4:20:0.402, -54:56:16.578,NGC  1566,Seyfert_1,Seyfert 1 Galaxy
965,T02_092T01_9000002384, 16:57:49.81, 35:20:32.4,V* HZ Her,LMXB,Low Mass X-ray Binary
966,T02_094T01_9000002380, 16:57:49.811, 35:20:32.487,V* HZ Her,LMXB,Low Mass X-ray Binary
967,T02_095T01_9000002330, 0:46:52.20, 42:12:12.40,,No identification within 1 arcsec,
968,T02_104T01_9000002356, 23:47:4.836, 51:42:17.892,QSO B2344+514,BLLac,BL Lac - type object
969,T02_109T01_9000002386, 03:50:24.9669, +17:14:47.431,V* V471 Tau,EB*,Eclipsing binary
970,T02_110T01_9000002376, 16:35:14.8, +38:09:09.0,,No identification within 1 arcsec,
971,T02_110T01_9000002388, 16:35:14.8, +38:09:09.0,,No identification within 1 arcsec,
972,T03_003T01_9000002712, 12:26:40.49, +19:45:15.8,,No identification within 1 arcsec,
973,T03_004T01_9000002532, 23:20:11.80, +22:24:07.0,AGC 334315,LSB_G,Low Surface Brightness Galaxy
974,T03_005T01_9000002908, 12:20:15.00, +25:30:00.00,,No identification within 1 arcsec,
975,T03_005T01_9000002928, 12:20:15.00, +25:30:00.00,,No identification within 1 arcsec,
976,T03_012T01_9000002606, 09:57:32.858, 33:37:11.028,[BKD2008] WR 402,PartofG,Part of a Galaxy
977,T03_013T01_9000002598, 09:49:30.3, +55:34:46.992,Mrk   22,Seyfert_1,Seyfert 1 Galaxy
978,T03_014T01_9000002704, 14:28:10.860, 13:33:5.688,UGC  9273,Galaxy,Galaxy
979,T03_015T01_9000002486, 6:42:15.533, 75:37:32.628,,No identification within 1 arcsec,
980,T03_018T01_9000002442, 19:23:32.189, -21:4:33.348,[VV2006] J192332.2-210433,QSO,Quasar
981,T03_020T01_9000002444, 4:20:0.402, -54:56:16.578,NGC  1566,Seyfert_1,Seyfert 1 Galaxy
982,T03_025T01_9000002670, 9:55:33.173, 69:3:55.044,M  81,Seyfert_2,Seyfert 2 Galaxy
983,T03_027T01_9000002608, 00:29:57.01, +32:53:37.4,AT 2016fnl,Transient,transient event
984,T03_028T01_9000002880, 20:39:09.18, -30:45:20.10,2MASX J20390918-3045201,Galaxy,Galaxy
985,T03_030T01_9000002574, 00:33:37.60, +28:44:21.0,AGC 102983,Galaxy,Galaxy
986,T03_032T01_9000002564, 9:17:52.910, -22:21:16.812,NGC  2835,EmG,Emission-line galaxy
987,T03_033T01_9000002568, 11:20:14.964, 12:59:29.544,,No identification within 1 arcsec,
